N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,4300,4.3,0.0043,4.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,1800,1.8,0.0018,1.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,7500,7.5,0.0075,7.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,6500,6.5,0.0065,6.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,1000,1.0,0.001,1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,2100,2.1,0.0021,2.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1300,1.3,0.0013,1.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,800,0.8,0.0008,8e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,3000,3.0,0.003,3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,3800,3.8,0.0038,3.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,800,0.8,0.0008,8e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,2000,2.0,0.002,2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1200,1.2,0.0012,1.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2600,2.6,0.0026,2.6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,3700,3.7,0.0037,3.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,800,0.8,0.0008,8e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,1800,1.8,0.0018,1.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1100,1.1,0.0011,1.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2700,2.7,0.0027,2.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,3900,3.9,0.0039,3.9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,1800,1.8,0.0018,1.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1300,1.3,0.0013,1.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2700,2.7,0.0027,2.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,6500,6.5,0.0065,6.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,800,0.8,0.0008,8e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,2500,2.5,0.0025,2.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1400,1.4,0.0014,1.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,800,0.8,0.0008,8e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,3400,3.4,0.0034,3.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,4500,4.5,0.0045,4.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,1900,1.9,0.0019,1.9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,2400,2.4,0.0024,2.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,600,0.6,0.0006,6e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2600,2.6,0.0026,2.6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,3800,3.8,0.0038,3.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,1900,1.9,0.0019,1.9e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1000,1.0,0.001,1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2700,2.7,0.0027,2.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,3600,3.6,0.0036,3.6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,600,0.6,0.0006,6e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,2000,2.0,0.002,2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1300,1.3,0.0013,1.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,800,0.8,0.0008,8e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2700,2.7,0.0027,2.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,4000,4.0,0.004,4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,1800,1.8,0.0018,1.8e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1100,1.1,0.0011,1.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,600,0.6,0.0006,6e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2500,2.5,0.0025,2.5e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,3600,3.6,0.0036,3.6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,600,0.6,0.0006,6e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,2200,2.2,0.0022,2.2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
